attomid,address_line1,avm_value,assdttlvalue,mktttlvalue,lat,lon
306051672,33 BUTTERCUP RD,0,15730,0,40.732224,-76.919543
306051676,1180 LENIG RD,0,14420,0,40.732803,-76.926655
306052342,1180 LENIG RD,0,1220,0,40.732803,-76.926655
306051675,1233 LENIG RD,198800,29530,0,40.733162,-76.927582
306051668,474 LENIG RD,0,18880,0,40.733552,-76.918883
306051682,601 LENIG RD,172000,34390,0,40.734417,-76.916742
306051667,631 LENIG RD,140000,30920,0,40.734662,-76.916302
306051685,661 LENIG RD,132000,27330,0,40.734975,-76.916021
306051688,681 LENIG RD,0,13210,0,40.735238,-76.915855
306052302,442 ROWNZY RD,132000,21550,0,40.735420,-76.954553
306051677,1217 LITTLETOWN RD,100000,15500,0,40.735430,-76.927952
306051670,726 LENIG RD,0,13590,0,40.735830,-76.915474
306052306,723 LITTLETOWN RD,134000,28790,0,40.735861,-76.927722
306051656,80 LENIG RD,0,16950,0,40.736060,-76.908042
306051683,745 LENIG RD,135000,29100,0,40.736076,-76.915308
306052355,529 ROWNZY RD,0,28880,0,40.736109,-76.955438
306052352,1305 ROWNZY RD,0,17730,0,40.736176,-76.946059
306051712,360 LENIG RD,181200,29280,0,40.736374,-76.912736
306051711,10 LITTLETOWN RD,187800,31740,0,40.737089,-76.914344
306051709,14 LITTLETOWN RD,0,57160,0,40.737130,-76.914396
306051710,62 LITTLETOWN RD,166000,29540,0,40.737668,-76.914871
306052315,161 ROWNZY RD,130000,22420,0,40.738133,-76.956296
306051686,345 LITTLETOWN RD,109000,21660,0,40.738210,-76.919584
306051681,323 LITTLETOWN RD,225000,35680,0,40.738218,-76.919155
306051690,277 LITTLETOWN RD,126000,20410,0,40.738333,-76.918336
306051669,187 LITTLETOWN RD,152000,23360,0,40.738343,-76.916712
306051713,229 LITTLETOWN RD,189000,37860,0,40.738381,-76.917466
306051714,221 LITTLETOWN RD,158000,45910,0,40.738382,-76.917324
306051708,136 LITTLETOWN RD,217000,38010,0,40.738572,-76.915680
306051715,160 LITTLETOWN RD,0,39410,0,40.738614,-76.916188
306051707,152 LITTLETOWN RD,183000,32670,32670,40.738624,-76.916037
306051704,264 LITTLETOWN RD,0,11110,0,40.738634,-76.918157
306051705,264 LITTLETOWN RD,259500,49980,0,40.738634,-76.918157
306052470,252 LITTLETOWN RD,0,37260,0,40.738648,-76.917910
306051706,202 LITTLETOWN RD,140400,18430,18430,40.738648,-76.916959
306052471,238 LITTLETOWN RD,0,43090,0,40.738652,-76.917646
306051699,541 LITTLETOWN RD,121000,23870,0,40.739214,-76.923010
306052449,594 LITTLETOWN RD,0,42460,0,40.739837,-76.923712
306052260,3066 NEITZ VALLEY RD,0,25620,0,40.740230,-76.954102
306052292,3066 NEITZ VALLEY RD,0,350,0,40.740230,-76.954102
306051679,1022 LITTLETOWN RD,0,23590,23590,40.740412,-76.925667
306052261,23 EBENEZER CHURCH RD # 25,0,46230,46230,40.740498,-76.960530
306052262,2940 NEITZ VALLEY RD,0,37700,0,40.740596,-76.956477
306052272,649 SHAFFER HILL RD,0,6730,0,40.740919,-76.925114
306052266,2497 NEITZ VALLEY RD,0,41800,0,40.742142,-76.949587
306052263,2600 NEITZ VALLEY RD,0,12690,0,40.742525,-76.947670
306052285,3377 FLINT VALLEY RD,0,14250,0,40.742842,-76.955835
306052303,2700 NEITZ VALLEY RD,0,48760,0,40.742854,-76.945793
306052265,2381 NEITZ VALLEY RD,0,93550,0,40.743264,-76.945094
306052267,2381 NEITZ VALLEY RD,0,4140,0,40.743264,-76.945094
306051736,3084 PRODUCE RD,0,28160,0,40.743800,-76.900968
306052271,1834 NEITZ VALLEY RD,0,38590,0,40.743804,-76.942720
306052297,2940 FLINT VALLEY RD,133000,28160,0,40.744551,-76.952750
306052308,2994 FLINT VALLEY RD,172300,25720,0,40.745852,-76.950415
306051731,593 PINE HOLLOW RD,0,3180,0,40.745929,-76.881792
306051735,2965 PRODUCE RD,0,16520,0,40.746206,-76.898277
306052313,2346 NEITZ VALLEY RD,0,28900,0,40.746448,-76.933499
306051730,248 JOCKEY RD,0,16870,0,40.746562,-76.883944
306052286,3034 FLINT VALLEY RD,0,10020,0,40.747154,-76.949195
306052295,3034 FLINT VALLEY RD,0,1990,0,40.747154,-76.949195
306052307,3034 FLINT VALLEY RD,0,1660,0,40.747154,-76.949195
306051734,3013 PRODUCE RD,0,3510,0,40.747302,-76.896570
306052277,441 SHAFFER HILL RD,0,21720,0,40.747406,-76.935344
306052423,1356 NEITZ VALLEY RD,0,13790,0,40.747441,-76.930262
306052279,450 SHAFFER HILL RD,0,31200,0,40.747643,-76.935633
306051747,457 JOCKEY RD,175000,37810,0,40.748283,-76.886347
306052309,3081 FLINT VALLEY RD,0,8460,0,40.748572,-76.948200
306051762,2517 PRODUCE RD,165000,32530,0,40.749063,-76.895241
306051748,511 JOCKEY RD,124000,19980,19980,40.749074,-76.886173
306052284,3117 FLINT VALLEY RD,0,22350,0,40.749302,-76.946248
306052328,156 SHAFFER HILL RD,0,41160,0,40.749804,-76.938899
306051755,2554 PRODUCE RD,119000,24920,0,40.749805,-76.895248
306052452,2554 PRODUCE RD,0,4140,0,40.749805,-76.895248
306052273,1692 NEITZ VALLEY RD,0,43580,0,40.749849,-76.924771
306052386,1202 NEITZ VALLEY RD,0,31850,0,40.750030,-76.924519
306052391,802 NEITZ VALLEY RD,0,17530,0,40.750538,-76.918053
306052385,1082 NEITZ VALLEY RD,0,7490,0,40.750615,-76.923593
306052384,1092 NEITZ VALLEY RD,0,22030,0,40.750705,-76.923446
306052403,1092 NEITZ VALLEY RD,0,330,330,40.750705,-76.923446
306052477,1092 NEITZ VALLEY RD,0,3780,0,40.750705,-76.923446
306052275,404 PENNY ANN LN,0,16720,0,40.750793,-76.932760
306052274,430 PENNY ANN LN,0,26210,0,40.750801,-76.932369
306052469,2244 PRODUCE RD,167000,40350,0,40.750816,-76.898048
306052390,844 NEITZ VALLEY RD,0,13670,0,40.750843,-76.917326
306052393,737 NEITZ VALLEY RD,211000,37930,0,40.750911,-76.919278
306052278,91 PENNY ANN LN,109000,10680,0,40.750966,-76.937466
306052430,596 NEITZ VALLEY RD,0,14940,0,40.750973,-76.921906
306051738,1985 AQUEDUCT RD,0,36210,0,40.751013,-76.888486
306052276,413 PENNY ANN LN,0,10610,0,40.751069,-76.932642
306052438,687 NEITZ VALLEY RD,0,19570,0,40.751099,-76.920185
306051739,2726 PRODUCE RD,0,19830,0,40.751231,-76.898648
306052392,869 NEITZ VALLEY RD,0,8830,0,40.751276,-76.917109
