# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-05-06 13:03:14 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01549700 Pine Creek bl L Pine Creek near Waterville, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01549700
#            TS   parameter     statistic     Description
#        119044       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	119044_00060_00003	119044_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01549700	1957-10-01	72.0	A
USGS	01549700	1957-10-02	76.0	A
USGS	01549700	1957-10-03	76.0	A
USGS	01549700	1957-10-04	74.0	A
USGS	01549700	1957-10-05	69.0	A
USGS	01549700	1957-10-06	64.0	A
USGS	01549700	1957-10-07	70.0	A
USGS	01549700	1957-10-08	70.0	A
USGS	01549700	1957-10-09	76.0	A
USGS	01549700	1957-10-10	74.0	A
USGS	01549700	1957-10-11	66.0	A
USGS	01549700	1957-10-12	66.0	A
USGS	01549700	1957-10-13	60.0	A
USGS	01549700	1957-10-14	52.0	A
USGS	01549700	1957-10-15	53.0	A
USGS	01549700	1957-10-16	55.0	A
USGS	01549700	1957-10-17	74.0	A
USGS	01549700	1957-10-18	100	A
USGS	01549700	1957-10-19	125	A
USGS	01549700	1957-10-20	140	A
USGS	01549700	1957-10-21	120	A
USGS	01549700	1957-10-22	94.0	A
USGS	01549700	1957-10-23	90.0	A
USGS	01549700	1957-10-24	115	A
USGS	01549700	1957-10-25	180	A
USGS	01549700	1957-10-26	190	A
USGS	01549700	1957-10-27	170	A
USGS	01549700	1957-10-28	150	A
USGS	01549700	1957-10-29	130	A
USGS	01549700	1957-10-30	110	A
USGS	01549700	1957-10-31	92.0	A
USGS	01549700	1957-11-01	91.0	A
USGS	01549700	1957-11-02	90.0	A
USGS	01549700	1957-11-03	90.0	A
USGS	01549700	1957-11-04	90.0	A
USGS	01549700	1957-11-05	88.0	A
USGS	01549700	1957-11-06	88.0	A
USGS	01549700	1957-11-07	87.0	A
USGS	01549700	1957-11-08	92.0	A
USGS	01549700	1957-11-09	140	A
USGS	01549700	1957-11-10	190	A
USGS	01549700	1957-11-11	160	A
USGS	01549700	1957-11-12	130	A
USGS	01549700	1957-11-13	110	A
USGS	01549700	1957-11-14	120	A
USGS	01549700	1957-11-15	200	A
USGS	01549700	1957-11-16	238	A
USGS	01549700	1957-11-17	256	A
USGS	01549700	1957-11-18	186	A
USGS	01549700	1957-11-19	198	A
USGS	01549700	1957-11-20	341	A
USGS	01549700	1957-11-21	425	A
USGS	01549700	1957-11-22	325	A
USGS	01549700	1957-11-23	233	A
USGS	01549700	1957-11-24	211	A
USGS	01549700	1957-11-25	194	A
USGS	01549700	1957-11-26	161	A
USGS	01549700	1957-11-27	112	A
USGS	01549700	1957-11-28	116	A
USGS	01549700	1957-11-29	116	A
USGS	01549700	1957-11-30	116	A
USGS	01549700	1957-12-01	116	A
USGS	01549700	1957-12-02	116	A
USGS	01549700	1957-12-03	102	A
USGS	01549700	1957-12-04	85.0	A
USGS	01549700	1957-12-05	85.0	A
USGS	01549700	1957-12-06	265	A
USGS	01549700	1957-12-07	270	A
USGS	01549700	1957-12-08	247	A
USGS	01549700	1957-12-09	507	A
USGS	01549700	1957-12-10	525	A
USGS	01549700	1957-12-11	490	A
USGS	01549700	1957-12-12	351	A
USGS	01549700	1957-12-13	300	A
USGS	01549700	1957-12-14	250	A
USGS	01549700	1957-12-15	230	A
USGS	01549700	1957-12-16	370	A
USGS	01549700	1957-12-17	310	A
USGS	01549700	1957-12-18	270	A
USGS	01549700	1957-12-19	370	A
USGS	01549700	1957-12-20	2900	A
USGS	01549700	1957-12-21	9100	A
USGS	01549700	1957-12-22	8400	A
USGS	01549700	1957-12-23	4700	A
USGS	01549700	1957-12-24	3160	A
USGS	01549700	1957-12-25	2220	A
USGS	01549700	1957-12-26	3030	A
USGS	01549700	1957-12-27	6000	A
USGS	01549700	1957-12-28	4000	A
