# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2019-02-06 13:35:02
# //WARNING
# //WARNING The stage-discharge rating provided in this file should be
# //WARNING considered provisional and subject to change. Stage-discharge
# //WARNING ratings change over time as the channel features that control
# //WARNING the relation between stage and discharge vary. Users are
# //WARNING cautioned to consider carefully the applicability of this
# //WARNING rating before using it for decisions that concern personal or
# //WARNING public safety or operational consequences.
# //WARNING
# //WARNING This rating does not include any shifts that may have been
# //WARNING used along with this base rating in converting stage to
# //WARNING discharge at this site. Stage data processed with the rating
# //WARNING thus may not match that displayed or published by the USGS.
# //WARNING
# //FILE TYPE="NWIS RATING" 
# //DATABASE NUMBER=01 DESCRIPTION=" Standard data base for this site."
# //STATION AGENCY="USGS " NUMBER="01554000       " TIME_ZONE="EST" DST_FLAG=Y
# //STATION NAME="Susquehanna River at Sunbury, PA"
# //LABEL="Discharge (ft^3/s)"
# //PARAMETER CODE="00060"
# //RATING SHIFTED="20190206133502 EST"
# //RATING ID="18.0" TYPE="STGQ" NAME="stage-discharge" AGING=????
# //RATING REMARKS="same as 15.0 abv 7.6ft (low-end redefined #498-501,507)"
# //RATING EXPANSION="logarithmic"
# //RATING BREAKPOINT1=1.050000E+01
# //RATING OFFSET1=3.500000E+00 OFFSET2=4.400000E+00
# //RATING_INDEP ROUNDING="????" PARAMETER="Gage height (ft)"
# //RATING_DEP ROUNDING="????" PARAMETER="Discharge (ft^3/s)"
# //RATING_DATETIME BEGIN=20101102230000 BZONE=-05:00 END=20170120000000 EZONE=-05:00 AGING=1
# //RATING_DATETIME COMMENT="same as 15.0 abv 7.6ft (low-end redefined #498-501,507)"
# //RATING_DATETIME BEGIN=20170120000000 BZONE=-05:00 END=-------------- EZONE=--- AGING=1
# //RATING_DATETIME COMMENT="same as 15.0 abv 7.6ft (low-end redefined #498-501,507)"
# //SHIFT_PREV BEGIN="20190205125942" BZONE="-05:00" END="--------------" EZONE="---"
# //SHIFT_PREV STAGE1="6.00" SHIFT1="0.15" STAGE2="8.00" SHIFT2="0.00"
# //SHIFT_PREV COMMENT="M563: data aging, continue until disproven"
# //SHIFT_NEXT BEGIN="--------------" BZONE="---" END="--------------" EZONE="---"
# //SHIFT_NEXT STAGE1="---" SHIFT1="---" STAGE2="---" SHIFT2="---" STAGE3="---" SHIFT3="---"
# //SHIFT_NEXT COMMENT=" "
INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
5.55	0.15	2300.00	
5.56	0.15	2324.67	
5.57	0.15	2349.50	
5.58	0.15	2374.47	
5.59	0.15	2399.60	
5.60	0.15	2424.88	
5.61	0.15	2450.31	
5.62	0.15	2475.90	
5.63	0.15	2501.64	
5.64	0.15	2527.53	
5.65	0.15	2553.57	
5.66	0.15	2579.77	
5.67	0.15	2606.12	
5.68	0.15	2632.63	
5.69	0.15	2659.29	
5.70	0.15	2686.11	*
5.71	0.15	2713.08	
5.72	0.15	2740.20	
5.73	0.15	2767.48	
5.74	0.15	2794.92	
5.75	0.15	2822.51	
5.76	0.15	2850.26	
5.77	0.15	2878.16	
5.78	0.15	2906.22	
5.79	0.15	2934.44	
5.80	0.15	2962.81	
5.81	0.15	2991.34	
5.82	0.15	3020.03	
5.83	0.15	3048.88	
5.84	0.15	3077.88	
5.85	0.15	3107.04	
5.86	0.15	3136.36	
5.87	0.15	3165.84	
5.88	0.15	3195.47	
5.89	0.15	3225.27	
5.90	0.15	3255.23	
5.91	0.15	3285.34	
5.92	0.15	3315.61	
5.93	0.15	3346.05	
5.94	0.15	3376.64	
5.95	0.15	3407.39	
5.96	0.15	3438.31	
5.97	0.15	3469.38	
5.98	0.15	3500.62	
5.99	0.15	3532.01	
6.00	0.15	3563.57	
6.01	0.15	3592.91	
6.02	0.15	3622.38	
6.03	0.15	3651.99	
6.04	0.15	3681.74	
6.05	0.15	3711.63	
6.06	0.15	3741.66	
6.07	0.14	3771.83	
6.08	0.14	3802.13	
6.09	0.14	3832.58	
6.10	0.14	3863.17	
6.11	0.14	3893.89	
6.12	0.14	3924.76	
6.13	0.14	3955.77	
6.14	0.14	3986.91	
6.15	0.14	4018.20	
6.16	0.14	4049.63	
6.17	0.14	4081.20	
6.18	0.14	4112.91	
6.19	0.14	4144.76	
6.20	0.13	4176.75	
6.21	0.13	4208.88	
6.22	0.13	4241.16	
6.23	0.13	4273.58	
6.24	0.13	4306.14	
6.25	0.13	4338.84	
6.26	0.13	4371.68	
6.27	0.13	4404.67	
6.28	0.13	4437.80	
6.29	0.13	4471.07	
6.30	0.13	4504.48	
6.31	0.13	4538.04	
6.32	0.13	4571.74	
6.33	0.13	4605.59	
6.34	0.12	4639.58	
6.35	0.12	4673.71	
6.36	0.12	4707.98	
6.37	0.12	4742.40	
6.38	0.12	4776.97	
6.39	0.12	4811.68	
6.40	0.12	4846.53	
6.41	0.12	4881.53	
6.42	0.12	4916.67	
6.43	0.12	4951.96	
6.44	0.12	4987.39	
6.45	0.12	5022.97	
6.46	0.12	5058.69	
6.47	0.11	5094.56	
