# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-10 17:07:34 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01554000 Susquehanna River at Sunbury, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01554000
#            TS   parameter     statistic     Description
#        119098       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	119098_00060_00003	119098_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01554000	1937-10-01	4300	A
USGS	01554000	1937-10-02	4140	A
USGS	01554000	1937-10-03	3970	A
USGS	01554000	1937-10-04	3860	A
USGS	01554000	1937-10-05	3750	A
USGS	01554000	1937-10-06	3750	A
USGS	01554000	1937-10-07	3970	A
USGS	01554000	1937-10-08	3860	A
USGS	01554000	1937-10-09	3650	A
USGS	01554000	1937-10-10	3860	A
USGS	01554000	1937-10-11	3800	A
USGS	01554000	1937-10-12	3860	A
USGS	01554000	1937-10-13	3860	A
USGS	01554000	1937-10-14	4080	A
USGS	01554000	1937-10-15	4080	A
USGS	01554000	1937-10-16	4080	A
USGS	01554000	1937-10-17	4140	A
USGS	01554000	1937-10-18	3920	A
USGS	01554000	1937-10-19	4300	A
USGS	01554000	1937-10-20	5030	A
USGS	01554000	1937-10-21	7500	A
USGS	01554000	1937-10-22	9340	A
USGS	01554000	1937-10-23	19700	A
USGS	01554000	1937-10-24	89500	A
USGS	01554000	1937-10-25	92500	A
