Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0430457580470721 -0.0494619243104407 -0.0366118173706375
mu xi 0.0502058486674111 0.0438274777741343 0.0566943785360577
mu dd 0.00347187270257673 -0.00269681208445475 0.00973439263631757
mu dr 0.00222456642586893 -0.00390932523317156 0.00845237246535036
mu life 0.000629043476649091 -0.00557580966283299 0.00691101951436369
sigma xi 0.0600915696675033 0.053142015506512 0.0670786072081841
sigma dd 0.0106252508763524 0.00403818158853125 0.0172407769672559
sigma dr 0.00378837659703557 -0.0025526221566668 0.0100529037358109
sigma life 0.0125296550597333 0.00605002023126958 0.019060884655595
xi dd 0.0233659945772194 0.0165978767757741 0.0302184188447478
xi dr 0.00174894853133619 -0.00471848793373648 0.00813390918153232
xi life 0.0179938384369431 0.011185103725625 0.0248563182421174
dd dr 0.00390670856700731 -0.00226589680832353 0.0101395433960896
dd life 0.00768558231875377 0.00130445152812137 0.0141750050578247
dr life 0.00379715923563392 -0.00235676525425972 0.0100806102901711
