Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0305990258910789 -0.0365322195347153 -0.0245961790953138
mu xi 0.0446714239294668 0.0387058050318577 0.0507234363635244
mu dd 0.00571848342555725 -0.000110479256414123 0.0116524208513793
mu dr 0.00844655177077019 0.00255085247425769 0.0144999900857283
mu life 0.00518636810512901 -0.000669380623889874 0.0111366584671513
sigma xi 0.0522622819997434 0.0453188786933672 0.059147509865152
sigma dd 0.0085988578683772 0.00258245288192356 0.0147728224571525
sigma dr 0.0297363889630369 0.0230200462199792 0.0364835126712643
sigma life 0.0064913462623661 0.000552753948495903 0.0125687277153734
xi dd 0.0121183294903297 0.00570176544704621 0.0184538470983689
xi dr 0.0517623725413944 0.0441393742295287 0.0593286657258147
xi life 0.0114173461460401 0.0051441263352029 0.0177415327950795
dd dr 0.0144340049139651 0.00798902738625038 0.0208236047144266
dd life 0.00608929148082709 0.000252046666990212 0.0120395832982117
dr life 0.0406099299332536 0.0340823771143311 0.0471385666488571
