Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0583149355321221 -0.0645887756954696 -0.051954788202573
mu xi 0.0577989952279429 0.0513236390651001 0.0642490867947182
mu dd -0.00201530481444819 -0.00823441789484583 0.0041805861445423
mu dr -0.00187991095471647 -0.00810229408527196 0.00435344367443645
mu life -0.00103837521502576 -0.00729555699883875 0.00524524363005269
sigma xi 0.0721112166493492 0.0652453771557657 0.0789449475944247
sigma dd 0.00222906606490554 -0.00420920652879546 0.00861653621071375
sigma dr -0.00109303837249059 -0.00737161427549846 0.00516693430438495
sigma life 0.00677047741486286 0.000211204088580993 0.0134064772528445
xi dd 0.00763380846003399 0.00118086395908007 0.0141103588670598
xi dr -0.000833159179862378 -0.00713866410840675 0.00547321181759272
xi life 0.0199855385063583 0.0132463708444255 0.0267847150441177
dd dr -0.00159358760759247 -0.00782960850401087 0.00465487514356695
dd life 0.00106678566619989 -0.00532301049862943 0.00745583967525579
dr life 0.000574798209915017 -0.00570702928206465 0.0068620350936789
