Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0676265428669921 -0.0739771747774587 -0.0612317716413274
mu xi 0.0638065897794098 0.0573452734853423 0.0702662364317341
mu dd -9.85061937517906e-05 -0.00633866035974397 0.0062508176457785
mu dr -0.000201713374293231 -0.00637875493813552 0.00608558927535271
mu life 0.00137031185366504 -0.00487896456285675 0.0077723357329295
sigma xi 0.0652307563160212 0.0583079244299307 0.0721603885319863
sigma dd 0.00495991155771866 -0.00158269838583075 0.0115240517803116
sigma dr 0.000369184656978324 -0.00589038810065102 0.00673592223310899
sigma life 0.00987510992001797 0.0033995824689735 0.0164573377092135
xi dd 0.00654566530884221 9.22719019364991e-05 0.0131722477916976
xi dr -0.000595494631288416 -0.0068776231034457 0.00571578419752663
xi life 0.0101504127567805 0.00337398093552974 0.016893984393297
dd dr 1.83748786085867e-05 -0.00615686636263266 0.00632346388714075
dd life 0.00482714727961725 -0.00165346642914454 0.0113295323285048
dr life 0.00351399958372076 -0.00270391910657586 0.00986035864303995
