Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0737619034385421 -0.0800959430687466 -0.0674765484719357
mu xi 0.0592237541341313 0.0528928516115185 0.0655362186042456
mu dd 0.00520558877894822 -0.00120738077935793 0.011419834676265
mu dr 0.00288618237234953 -0.00330354743261534 0.00909509561696801
mu life 0.00980043015735821 0.00334306801570096 0.0161720060052098
sigma xi 0.0453737278385066 0.0387948337538945 0.051867042812419
sigma dd 0.00981275821513569 0.00329423676911593 0.0162050418641826
sigma dr 0.00337568532555877 -0.00293779406423642 0.00957757292935905
sigma life 0.0165536938024506 0.010146592424193 0.0231514586991045
xi dd -0.00196922064270613 -0.00837851724699663 0.00451187342526984
xi dr 0.00205276305644621 -0.00423869635430472 0.00819303139457169
xi life -0.0114103126152734 -0.0178671463794739 -0.00495805982894684
dd dr 0.00316063914301688 -0.00305071137637594 0.0093670970310956
dd life 0.0141266845599846 0.00757241075373611 0.0207086070207017
dr life 0.00873406226549944 0.00239391340688058 0.0150472445223525
