Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0530419554193649 -0.0592721809131776 -0.0469234917610772
mu xi 0.063592020393624 0.0573593802579851 0.0696860643822493
mu dd 0.00362171874068751 -0.002637223663772 0.00962283836177796
mu dr 0.00330846192585299 -0.00288113333014136 0.00927397686229533
mu life 0.00366329629026349 -0.00251997635016884 0.00967909913480261
sigma xi 0.0720099089615732 0.0650708519405996 0.0786817946488968
sigma dd 0.00859520925715535 0.00216748091788406 0.0148128480099957
sigma dr 0.00385459461261538 -0.0023700416008692 0.00985608749782005
sigma life 0.0142258499622853 0.00785470048954959 0.0206155301671202
xi dd 0.0132409230030041 0.0067363566444385 0.019609078054207
xi dr 0.00434817429964406 -0.00186801473084897 0.0104166890882269
xi life 0.0271738070780903 0.0204032225296259 0.033835792849334
dd dr 0.00386092751539423 -0.00233711722781777 0.0098102998390458
dd life 0.00632805373305378 -4.57331598811353e-05 0.012459859162219
dr life 0.00552876931164106 -0.00068324666341632 0.0115217311235767
