Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0572378043217215 -0.0635012845095163 -0.0510433788395232
mu xi 0.0584786963427128 0.0520581832436153 0.0647568091252747
mu dd -0.00120993566570575 -0.0074330409121758 0.00493771520051069
mu dr -0.000627717478980883 -0.00683721353698391 0.00550130751952257
mu life -0.000204608875595119 -0.00649195116754987 0.00591559702346497
sigma xi 0.072951662677577 0.065874133247361 0.07983568458716
sigma dd 0.00294038399181208 -0.00348648358886846 0.00916921680547721
sigma dr 0.00153734576468269 -0.00475824442312165 0.00770524558515104
sigma life 0.00608507619911999 -0.000381117010423116 0.0124477998589
xi dd 0.00870631507683318 0.00216874428092978 0.0152383483724708
xi dr 0.0031655343313063 -0.00335714142321913 0.00954752313812823
xi life 0.0166462622247571 0.00997113621166845 0.0233073135889105
dd dr -4.53885449816782e-05 -0.00630369906877798 0.00614640106690665
dd life 0.00124927998861522 -0.00511259009220254 0.00752659684264804
dr life 0.00928427203856112 0.00294062917169478 0.0154755128328956
