Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0579829380167789 -0.0642999610370557 -0.0517427985768215
mu xi 0.0575454542369545 0.0511586683191342 0.0638798289713097
mu dd -0.00194347419406662 -0.00820461959666084 0.0042731503308242
mu dr -0.0013546706568401 -0.00755024388802416 0.00483055668432601
mu life -0.0010999693088919 -0.0072949075828528 0.00516700098416445
sigma xi 0.0667998177535608 0.0598347359410609 0.0736819261898411
sigma dd 0.00304824210012256 -0.00339746661686672 0.00954932672928623
sigma dr 0.00150633529046942 -0.00484048419744163 0.00779371103410926
sigma life 0.0054025902302335 -0.00103412339407477 0.0119406392213193
xi dd 0.0104772848793815 0.00394044488549955 0.0170274803443509
xi dr 0.00207771043073345 -0.00434726790133314 0.00853865992389586
xi life 0.0151071304750878 0.00841446477694368 0.0217601394501634
dd dr -0.000765430499999782 -0.00706811421955948 0.00543422473341976
dd life 0.00125975746571404 -0.0051665906182946 0.00752854631296379
dr life 0.00919339735802206 0.00287991852356205 0.015513157192378
