Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0647985614946941 -0.0710979770612584 -0.0583231691723147
mu xi 0.0585102776549693 0.052268324639772 0.0650504630424644
mu dd -0.00165457355131901 -0.00785930640827293 0.00471685518439486
mu dr -0.00127134430568602 -0.00736701049584548 0.00512000777197351
mu life -0.000429588987337942 -0.00669672099259604 0.00603949839386731
sigma xi 0.0653678482508713 0.058625289355074 0.0724049406889484
sigma dd 0.00206639336378467 -0.00434055841706648 0.00866520415889181
sigma dr 0.000875591668395362 -0.00542502891784226 0.00749348874176099
sigma life 0.00753756377474044 0.000972150444855161 0.0142521612014304
xi dd 0.00353628204138873 -0.00290949435634324 0.0102255960728809
xi dr 0.0013088854525798 -0.00516352838244459 0.0079314876470144
xi life 0.0105318359547093 0.00376574014363421 0.0175383090588549
dd dr -0.000236626159972345 -0.00640942035789373 0.00624486400867296
dd life 0.00236351920089775 -0.00403942896286055 0.00892629565360179
dr life 0.0169942676029091 0.0107226864219741 0.0236636081221352
