Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0536957862481248 -0.0600703592544627 -0.0473884074597937
mu xi 0.0548571195884635 0.0484536399938028 0.0613552260062308
mu dd -0.000950390459668604 -0.00719402867453839 0.00530823593007219
mu dr -0.000820635463197002 -0.00704379139733035 0.00545747920166635
mu life -0.000118808735385834 -0.0063766827149887 0.00618674565773546
sigma xi 0.0640975480247712 0.0568962656475808 0.0711291332338825
sigma dd 0.00384595890865463 -0.00259711259280242 0.0103380467662114
sigma dr 0.0013958892662349 -0.00492675991046246 0.00778892667603425
sigma life 0.00785171607766669 0.0012857305589599 0.0143206313034903
xi dd 0.0106286619959137 0.00403855273408827 0.0173739542200436
xi dr 0.0058279158427448 -0.000641919620778116 0.0122644143807423
xi life 0.0204266537184729 0.0135312483188075 0.0273860533600513
dd dr -0.00023828471486894 -0.00654664337155424 0.00607226982079724
dd life 0.00288844491020782 -0.00352617356223989 0.00936707119761548
dr life 0.0148483902118979 0.00845773808821565 0.0212916734273318
