Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0318556989094406 -0.0383476983974737 -0.0253352645514232
mu xi 0.0425988580414413 0.036231498926898 0.0491412669446539
mu dd 0.00157689309699469 -0.00474253332969693 0.00800545527453563
mu dr 0.00171573994255113 -0.0046278978513686 0.00805707378895342
mu life 0.00258579499926093 -0.00381965311743773 0.00897247958694087
sigma xi 0.0833492193754685 0.0764795394322757 0.090391974187548
sigma dd 0.00722128758785848 0.000604952849118445 0.0137348343898548
sigma dr 0.00342490809332204 -0.0029294652823681 0.00981483748114719
sigma life 0.00549951836274259 -0.00102264549116754 0.0121860686010934
xi dd 0.0199313097862713 0.013043263143861 0.0269355061777308
xi dr 0.00342589933277193 -0.0029856842610837 0.00996529158222611
xi life 0.0172579227130324 0.010392380213752 0.0242417784250465
dd dr 0.00242128985302318 -0.00398078602147198 0.00879246380987743
dd life 0.00938218024797338 0.00282114189691877 0.0160084811655571
dr life 0.00328994409310021 -0.00306964132117207 0.00963603730837309
