Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0254469187628579 -0.0315822875981062 -0.0191646371250936
mu xi 0.0332871628737864 0.0270911033897176 0.0395526004077461
mu dd 0.00035750718063985 -0.00574806007584601 0.00652117234270359
mu dr -1.84359288197822e-05 -0.00621706511563418 0.00622872302478803
mu life 0.000858454742386036 -0.00523047932379715 0.00701309024466838
sigma xi 0.0615739716954252 0.0546743472905072 0.0683737589248363
sigma dd 0.00285013575427155 -0.00336516212536571 0.00912438349245685
sigma dr 0.0135451153785803 0.00676397026258319 0.0205171520383524
sigma life 0.00143531168786908 -0.00470880779218209 0.00759792518601003
xi dd 0.00753375742815386 0.0010305561007554 0.0141316058469727
xi dr 0.0415143064216679 0.0338920244503646 0.0489903834389205
xi life 0.00616783504104453 -0.000217554159180133 0.0125604521535587
dd dr 0.0090562962129494 0.00248657011591967 0.0156897473187121
dd life 0.000923464745982927 -0.00526047771587001 0.00714892286556669
dr life 0.0366130931275871 0.0299338150753447 0.0433933084104919
