Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0373419250735662 -0.0435842781533306 -0.0309180191257285
mu xi 0.0470125135646801 0.0406804873940111 0.0534097800306009
mu dd -0.000642290029811893 -0.00679478031921644 0.00565785327369696
mu dr -0.000700294092725684 -0.00688589921831745 0.00562289664169859
mu life -0.00073128155598598 -0.00691258309483803 0.00567286321466102
sigma xi 0.0955764201845265 0.0887353250457516 0.102442773191068
sigma dd 0.00209825856275182 -0.00419827283504289 0.00857794079213001
sigma dr -0.000223194865683913 -0.00644052343368458 0.00616802467414563
sigma life 0.00406326711348928 -0.00251815317930607 0.0106930436468556
xi dd 0.0093738436272167 0.00288766639723771 0.0160718303960113
xi dr 0.000437110502523329 -0.00574793916142212 0.00681853163429199
xi life 0.0244788218738315 0.0176297236328936 0.0313663073153892
dd dr -2.53428641403333e-06 -0.00623748496116405 0.00636578854913407
dd life 0.00265759282485817 -0.00372591514772196 0.00917599391694379
dr life 0.001771507199367 -0.00439989750000291 0.00813612844339755
