Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0693454376614044 -0.0756081694286352 -0.0629816378309109
mu xi 0.0638184840375191 0.0573599494482696 0.0702766397324862
mu dd -0.000927575736240499 -0.00713579816227207 0.00527876229782957
mu dr -0.00102508092445 -0.0071900553282785 0.00520509934134992
mu life 0.000662468784120185 -0.00558259402115274 0.00696753758513724
sigma xi 0.0708317105124538 0.0639737457783056 0.0776254631284612
sigma dd 0.0032878849402312 -0.00314552048750041 0.00965053232829445
sigma dr -0.000252637902231918 -0.00642046919514521 0.00602267893736728
sigma life 0.00799649244349737 0.00138672193196582 0.0146695264151933
xi dd 0.00412140624698594 -0.00237310027420007 0.0106662176377186
xi dr -0.000596189069238934 -0.00689971600855458 0.00573566532823602
xi life 0.0101811164445564 0.0034860631479545 0.0169068135481254
dd dr -0.000615974917704019 -0.0068355070085265 0.00557549861595187
dd life 0.00327951198171339 -0.00318258537081881 0.00967142611629111
dr life 0.00221128446490951 -0.00397989928238089 0.00843936832724184
