Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0442614562394435 -0.0502964331584915 -0.0379523619092718
mu xi 0.0490312715599856 0.0427661322017502 0.0553458908600534
mu dd -0.00180324539465243 -0.00790712059143255 0.0043800051854985
mu dr -0.00159018031276008 -0.00761570295300221 0.00455535563296444
mu life -0.00168919810045012 -0.00774327850496875 0.00457093317229806
sigma xi 0.0926350710857908 0.0857923912454671 0.0994468882392636
sigma dd 0.000634258906035107 -0.00563945341777716 0.00697577925162006
sigma dr -0.00121532143019264 -0.00730387126016124 0.00494624456530668
sigma life 0.00242747152482245 -0.00393930359201879 0.00902504069178679
xi dd 0.00536763343519409 -0.00118984237155496 0.0119487469944422
xi dr -0.00107234781508555 -0.0072198584554219 0.00513807186352397
xi life 0.0161926345149701 0.00948783877541124 0.0227795061415148
dd dr -0.0014623997119468 -0.0075261854135139 0.00474669829432916
dd life 0.00201492959718402 -0.00435559476595036 0.00844398926526161
dr life 0.00107395807324237 -0.00504871742776631 0.00726280531099628
