Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0400283810135347 -0.0462584342967695 -0.0337608235033559
mu xi 0.050726265046072 0.0445927147251621 0.0570387740436791
mu dd 0.00195171918963677 -0.00419342106592498 0.0081868077878179
mu dr 0.00191630614299357 -0.00420505859109786 0.00812934362945391
mu life 0.00161355478525244 -0.00449242593900387 0.00787962731830508
sigma xi 0.0945826589125152 0.0877910086873825 0.10134894985147
sigma dd 0.00373969107372334 -0.00264080330659721 0.0100671567237167
sigma dr 0.00249457137022332 -0.00363682850470953 0.00870654380514077
sigma life 0.00596299294487163 -0.000430051362351545 0.0125084743981163
xi dd 0.00940387029994753 0.00289447702215608 0.0160895194685595
xi dr 0.00279572256096785 -0.00340149540918813 0.00906198815011137
xi life 0.0193506705625114 0.0127215738848453 0.0261097103719722
dd dr 0.00245346383785661 -0.00363013527935708 0.00873200798692351
dd life 0.00720881560407849 0.000863547980701295 0.0135485194363336
dr life 0.00403494825599052 -0.00209899023851605 0.0102364972578301
