Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0438054057935434 -0.0501574170727147 -0.0373730257714425
mu xi 0.0477606032265684 0.0413893282709158 0.0542318627807397
mu dd -0.0023537762927939 -0.00856967763632283 0.0039972404501454
mu dr -0.00218388922319058 -0.00838697879406673 0.00417587082222009
mu life -0.00208579611763365 -0.00828587544348128 0.00424877306961512
sigma xi 0.0963058794965016 0.089492952599947 0.103094866996657
sigma dd -0.000353493424566031 -0.00676436301912084 0.00616184843391391
sigma dr -0.00104410497848145 -0.00740189017629935 0.00538582171074474
sigma life 0.00161339989276627 -0.00488132407330616 0.00827839821965073
xi dd 0.00325482906453742 -0.00327940807668896 0.0099232341808818
xi dr 0.00167786406480408 -0.00470908112515327 0.00817748675820516
xi life 0.0136636402753401 0.00708407557695338 0.0202516739186275
dd dr -0.00157182286837586 -0.00782611855174571 0.00481438337486273
dd life 0.00015982546411597 -0.00615176676325556 0.00658494402730167
dr life 0.00880111077341569 0.00248523466080995 0.015299139825728
