Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0450075225210554 -0.051362785829556 -0.0387124305742423
mu xi 0.0479120256812194 0.0415025950143743 0.0542696037467328
mu dd -0.00273527794426602 -0.00901443263312659 0.00344054745651001
mu dr -0.00309453233497723 -0.00937200896709287 0.00308335977302305
mu life -0.00272170472678687 -0.00904272608010144 0.00353167675113624
sigma xi 0.0908898919667031 0.0841381683269129 0.0975922445859794
sigma dd -0.000249235183400212 -0.00673109005303715 0.00615756216099363
sigma dr -0.00145473782104921 -0.00785279776058461 0.0048102936088571
sigma life 0.000256172911427099 -0.00641439279282216 0.00677533767751772
xi dd 0.00358072738967254 -0.00319711474545613 0.0102633450026093
xi dr 0.000431648943945269 -0.00605011738798693 0.00673296833746191
xi life 0.0119864737486815 0.0052192808027661 0.0186299158376219
dd dr -0.0016273113769183 -0.00793466073921344 0.00461593165801223
dd life -2.81601162637202e-05 -0.00647124902327441 0.00634065848314912
dr life 0.0100128714042634 0.00357441624555049 0.0163331003666721
