Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.04186228176139 -0.048082084222937 -0.0356553798525411
mu xi 0.0443858869144344 0.0380374445487551 0.0506812006593939
mu dd -0.00298072839656973 -0.00914757394666767 0.00320535687135201
mu dr -0.00255908438937625 -0.00873045876264368 0.00357413406140247
mu life -0.00270714989504631 -0.00884296460510201 0.00347116830492706
sigma xi 0.0911322677238537 0.0844699518577434 0.0978330753904674
sigma dd -0.00141438042873412 -0.00775273977602743 0.00493641367498941
sigma dr -0.000610795060247624 -0.00682677341009242 0.00556336353692539
sigma life 0.00155626224742592 -0.0048846069355322 0.0080369842685297
xi dd 0.00282930944517065 -0.00356808011506887 0.00928714258807733
xi dr -4.32837840124572e-05 -0.00637339930392938 0.00631313994657827
xi life 0.0179265445029291 0.011135914834076 0.0246547514303505
dd dr -0.00155563406177807 -0.0077632712492956 0.00463155541554653
dd life -0.000149253625925883 -0.0065197687825824 0.00611716646421108
dr life 0.0124063083883937 0.0060907868848399 0.0186967436422338
