Parameter_1 Parameter_2 S2 S2_conf_low S2_conf_high
mu sigma -0.0614230123121292 -0.0677524115981958 -0.0550691841351823
mu xi 0.0594352405479569 0.0529754778256013 0.0658131273835977
mu dd 0.000552310384616186 -0.00567727518828901 0.00679267846591074
mu dr 0.000554757935217767 -0.00567511533454606 0.00681987984934649
mu life 0.00194584112881765 -0.00434452979157238 0.00826664410069183
sigma xi 0.0614099028041336 0.0543202365590562 0.0684170356409652
sigma dd 0.00541039067896534 -0.00111940398330984 0.011912106097691
sigma dr 0.00279753120485421 -0.00366245733193173 0.00915744757434367
sigma life 0.00963695135302325 0.00298104078556782 0.0161287128550646
xi dd 0.00728431022940909 0.000734943669963493 0.0140064307286417
xi dr 0.00435010630554344 -0.00206010482324544 0.0107752063902071
xi life 0.0113471849979553 0.00455244599830788 0.0182842213086592
dd dr 0.00130839678094793 -0.00501988555265073 0.0076181992185687
dd life 0.00572029454450085 -0.000780660975082999 0.0121924798053555
dr life 0.0211657205068146 0.014706944432973 0.0277002758558464
